0,Passenger Plate Default,Alaska,,,"""The Last Frontier"" at bottom.  Standard ABC 123 pattern. Use the syntax to determine the letter ""O"". The letter ""O"" is Verified as a letter. ",,,,,The number 0 has a slash through the number in plates made after 2022,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
0,Blood Bank,,,,Y,N,N,N,Y,N,N,N
0,Camper,,,,Y,N,N,N,Y,Y - RV / Camper,Y - Vehicle will be a RV or a Camper,N
0,Caribou,,Motorcycle,,Y,N,N,N,Y,N,N,N
0,Chickaloon,,,,Y,N,N,N,Y,N,N,N
0,Children's Trust,,,,Y,N,N,N,Y,Y- 'KID' will be first 3 or last 3,N,N
0,Choose Life,,,,Y,N,N,N,Y,N,N,N
0,Collector's Car,,,,Y,N,N,N,Y,Y- 'HR' will be first - COLLECTOR's CAR at bottom of plate,N,N
0,Commercial,Trailer,,,Y,N,N,N,Y,N,N,N
0,Dealer,1982-1998,Since 1999,,Y,N,N,N,Y,"Y- 'DL' at end, DEALER at bottom of 1982-1998 plate",N,N
0,Disabled Person,,,,Y,N,N,N,Y,N,N,N
0,Disabled Veteran ,1991 - 2003,2004,2005 - 2012,Y,N,N,N,Y,Y- DISABLED VET at bottom of plate,N,N
0,Disabled Veteran ,Since 2013,,,Y,N,N,N,Y,Y- DISABLED VET at bottom of plate,N,N
0,Exempt,,,,Y,N,N,N,Y,Y - 'EXEMPT' at bottom of plate,N,N
0,Farm,,,,Y,N,N,N,Y,Y - 'FARM' at bottom of plate,N,N
0,Firefighter,,,,Y,N,N,N,Y,N,N,N
0,For Hire,,,,Y,N,N,N,Y,N,N,N
0,Freemason,,,,Y,N,N,N,Y,N,N,N
0,Gold Creek Susitna Motorcycle,1999,2000 - 2001,Since 2002,Y,N,N,N,Y,N,N,N
0,Gold Creek Susitna,1997-1998,1999,2000-2001,Y,N,N,N,Y,N,N,N
0,Gold Creek Susitna,2002-2007,2008-2011,Since 2012,Y,N,N,N,Y,N,N,N
0,Government,Governor,Government,State House,Y,N,N,N,Y,Y- 'GOVERNMENT' at bottom of Government Plate only,N,N
0,Government,State Senate,U.S. Senator,,Y,N,N,N,Y,Y- 'GOVERNMENT' at bottom of Government Plate only,N,N
0,Historic Vehicle,1988-1999,2000-2004,Since 2005,Y,N,N,N,Y,N,N,N
0,Iditarod,Finisher,The Last Great Race,,Y,N,N,N,Y,N,N,N
0,In God we trust,,,,Y,N,N,N,Y,N,N,N
0,Initial Passenger,,,,Y,N,N,N,Y,N,N,N
0,International Assocoiation of Fire Fighters,,,,Y,N,N,N,Y,N,N,N
0,Knik Tribe,,,,Y,N,N,N,Y,N,N,N
0,Laos Veteran,,,,Y,N,N,N,Y,Y-'VETERAN' at bottom of plate,N,N
0,Mammograms save lives,,,,Y,N,N,N,Y,N,N,N
0,Motorcycle,Light Trailer,Mountains,Purple Heart,Y,N,N,N,Y,N,N,N
0,Motorcycle,1973-1980,Since 1981,Optional 2015-2020,Y,N,N,N,Y,N,N,N
0,Motorcycle,optional since 2021,Support our Troops,Veteran,Y,N,N,N,Y,N,N,N
0,Mountain,,,,Y,N,N,N,Y,N,N,N
0,National Guard ,,,,Y,N,N,N,Y,N,N,N
0,National Rifle Assn,,,,Y,N,N,N,Y,N,N,N
0,Passenger ,1982-2006,2007-2022,Since 2023,Y,N,N,N,Y,"Y - ""The Last Frontier"" at the bottom of the plate",N,N
0,Passenger ,Gold Rush,Celebrating Statehood,Grizzly Optional,Y,N,N,N,Y,"Y - ""The Last Frontier"" at the bottom of the plate",N,N
0,Passenger ,Artistic Optional,Personalized,,Y,N,N,N,Y,"Y - ""The Last Frontier"" at the bottom of the plate",N,N
0,Pearl Harbor Survivor,,,,Y,N,N,N,Y,N,N,N
0,Prince William Sound Community College,,,,Y,N,N,N,Y,N,N,N
0,Prisoner Of War,,,,Y,N,N,N,Y,N,N,N
0,Pro Family Pro Choice,,,,Y,N,N,N,Y,N,N,N
0,Purple heart,1991-2003,Since 2004,,Y,N,N,N,Y,N,N,N
0,Republican National Convention,,,,Y,N,N,N,Y,N,N,N
0,State,,,,Y,N,N,N,Y,Y-'OFFICIAL USE ONLY' at the top of plate,N,N
0,Support our Troops,,,,Y,N,N,N,Y,N,N,N
0,Support our Veterans,2004-2007,Since 2008,,Y,N,N,N,Y,N,N,N
0,Temporary,Since 2005,,,Y,N,N,N,Y,N,N,N
0,Truck,,,,Y,N,N,N,Y,N,N,N
0,University of Alaska Anchorage,1991-2002,Since 2003,Since 2003 Flat,Y,N,N,N,Y,N,N,N
0,University of Alaska Fairbanks,1991-2002,Since 2003,,Y,N,N,N,Y,N,N,N
0,Veteran,1991-2003,Since 2004,,Y,N,N,N,Y,N,N,N
0,Speciality,,,,Y,N,N,N,Y,N,N,N
0,Gold Star Family,,,,Y,N,N,N,Y,N,N,N
