0,Passenger Plate Default,Colorado,,,"The letter ""O"" is to be verified as a letter. Key only the unusal three letter verticials",,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Ambulance,,,,Y,N,N,N,N,N,N,N
,Antique ,,,,Y,N,N,N,N,N,N,N
,Apportioned plate,,,,Y,N,N,Y - Commerical Identifiers are omitted.,N,Y - Fleet and/or apportion plates have red background.,Y - Vehicle will b a Semi-Truck or Semi-Trailer,N
,Authority / Police,,,,Y,N,N,N,N,N,N,N
,Authority Motorcycle/Police,,,,Y,N,N,N,N,N,N,N
,Bus,,,,Y,N,N,N,N,N,N,N
,Camper,,,,Y,N,N,N,N,N,N,N
,City,,,,Y,N,N,N,N,N,N,N
,City Motorcycle,,,,Y,N,N,N,N,N,N,N
,Collegiate,,,,Y,N,N,N,N,N,N,N
,Commercial,,,,Y,N,N,N,N,N,N,N
,Dealer,,,,Y,N,N,N,N,N,N,N
,Dealer Motorcycle,,,,Y,N,N,N,N,N,N,N
,Disabled Veteran ,,,,Y,N,N,Y- Omit the DV in the center of plate.,N,Y - Disabled Verteran tags have a light blue background and have DV and/or a wheel chair logo in the center of the plate.,N,N
,Farm,,,,Y,N,N,N,N,N,N,N
,Fire Department,,,,Y,N,N,N,N,N,N,N
,Handicapped,,,,Y,N,N,N,N,N,N,N
,Handicapped Motorcycle,,,,Y,N,N,N,N,N,N,N
,Initial Commercial plate ,,,,Y,N,N,N,N,N,N,N
,Initial Disabled Veteran,,,,Y,N,N,N,N,N,N,N
,Initial Handicapped,,,,Y,N,N,N,N,N,N,N
,Initial Motorcycle,,,,Y,N,N,N,N,N,N,N
,Initial Passenger,,,,Y,N,N,N,N,N,N,N
,Initial Regular Veteran,,,,Y,N,N,N,N,N,N,N
,Initial Veteran Motorcycle,,,,Y,N,N,N,N,N,N,N
,Livery,,,,Y,N,N,N,N,N,N,N
,Manufacturer,,,,Y,N,N,N,N,N,N,N
,Motorcycle,,,,Y,N,N,N,N,N,N,N
,National Guard ,,,,Y,N,N,N,N,N,N,N
,New& Used Dealer,,,,Y,N,N,N,N,N,N,N
,Passenger ,,,,Y,N,N,Y - Usual three letter identifiers are omitted.,N,N,N,N
,,,,,Y,N,N,Y - Usual three letter identifiers are omitted.,N,N,N,N
,,,,,Y,N,N,Y - Usual three letter identifiers are omitted.,N,N,N,N
,Passenger (Special Rules),,,,Y,N,N,Y - Unusual identifiers are added. (INT and DMO),N,N,N,N
,Purple heart,,,,Y,N,N,N,N,N,N,N
,Regular Veteran Plate,,,,Y,N,N,N,N,Y - Regular Verteran tags have a dark blue background.,N,N
,School Bus,,,,Y,N,N,N,N,N,N,N
,Semi Trailer,,,,Y,N,N,N,N,N,N,N
,Sheriff,,,,Y,N,N,N,N,N,N,N
,State,,,,Y,N,N,N,N,N,N,N
,State motorcycle,,,,Y,N,N,N,N,N,N,N
,Taxi,,,,Y,N,N,N,N,N,N,N
,Temporary,,,,Y,N,N,N,N,N,N,N
,Trailer,,,,Y,N,N,Y - Omit the vertical TRL.,N,N,Y - Vehicle will be a trailer.,N
,Truck,,,,Y,N,N,N,N,N,N,N
,Truck Heavy,,,,Y,N,N,N,N,N,N,N
,Veteran Motorcycle,,,,Y,N,N,N,N,N,N,N
,Speciality,,,,Y,N,N,N,N,N,N,N
,,,,,Y,N,N,N,N,N,N,N
,,,,,Y,N,N,N,N,N,N,N
,,,,,,,,,,,,
